Latitude (decimal degrees):	12.307
Longitude (decimal degrees):	76.650
Elevation (m):	756
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230624:2030,0.0,0.0,0.0,0.0,0.0,21.83,2.76,0.0
20230624:2130,0.0,0.0,0.0,0.0,0.0,21.78,2.55,0.0
20230624:2230,0.0,0.0,0.0,0.0,0.0,21.4,2.41,0.0
20230624:2330,0.0,0.0,0.0,0.0,0.0,21.4,2.41,0.0
20230625:0030,0.0,0.0,0.0,0.0,-0.92,21.48,2.69,0.0
20230625:0130,52.66,6.55,76.35,0.0,12.59,21.76,2.9,0.0
20230625:0230,122.85,16.85,151.2,0.0,26.29,22.55,3.59,0.0
20230625:0330,166.48,23.95,196.95,0.0,40.05,23.7,3.93,0.0
20230625:0430,272.71,81.4,269.45,0.0,53.7,24.82,3.86,0.0
20230625:0530,418.1,251.45,281.75,0.0,66.82,26.05,3.93,0.0
20230625:0630,570.67,450.95,288.45,0.0,77.34,27.29,3.79,0.0
20230625:0730,590.69,574.8,196.25,0.0,76.26,28.71,3.52,0.0
20230625:0830,389.85,298.1,205.1,0.0,65.05,29.27,3.59,0.0
20230625:0930,372.27,231.35,241.75,0.0,51.8,25.69,4.21,0.0
20230625:1030,217.06,166.3,115.4,0.0,38.12,25.98,4.28,0.0
20230625:1130,92.39,39.35,94.4,0.0,24.36,26.03,4.21,0.0
20230625:1230,23.39,5.55,39.9,0.0,10.68,24.23,3.03,0.0
20230625:1330,0.0,0.0,0.0,0.0,-2.79,23.84,3.03,0.0
20230625:1430,0.0,0.0,0.0,0.0,0.0,23.29,2.76,0.0
20230625:1530,0.0,0.0,0.0,0.0,0.0,22.77,3.03,0.0
20230625:1630,0.0,0.0,0.0,0.0,0.0,22.43,3.03,0.0
20230625:1730,0.0,0.0,0.0,0.0,0.0,22.23,2.97,0.0
20230625:1830,0.0,0.0,0.0,0.0,0.0,22.09,3.1,0.0
20230625:1930,0.0,0.0,0.0,0.0,0.0,21.94,3.1,0.0
20230625:2030,0.0,0.0,0.0,0.0,0.0,21.76,3.1,0.0
20230625:2130,0.0,0.0,0.0,0.0,0.0,21.47,2.97,0.0
20230625:2230,0.0,0.0,0.0,0.0,0.0,21.31,2.83,0.0
20230625:2330,0.0,0.0,0.0,0.0,0.0,21.38,2.76,0.0
20230626:0030,0.0,0.0,0.0,0.0,-0.97,21.53,2.76,0.0
20230626:0130,11.99,0.1,27.25,0.0,12.54,21.65,2.9,0.0
20230626:0230,64.45,3.1,93.2,0.0,26.24,21.91,3.17,0.0
20230626:0330,148.7,41.7,156.0,0.0,40.01,22.52,3.93,0.0
20230626:0430,230.1,76.1,219.3,0.0,53.66,23.42,4.62,0.0
20230626:0530,191.92,49.75,200.9,0.0,66.79,24.34,4.9,0.0
20230626:0630,177.3,60.7,171.8,0.0,77.34,24.58,5.03,0.0
20230626:0730,196.09,20.05,238.2,0.0,76.31,25.2,4.48,0.0
20230626:0830,306.72,125.3,267.0,0.0,65.1,25.75,4.55,0.0
20230626:0930,173.93,44.6,186.9,0.0,51.86,26.55,4.76,0.0
20230626:1030,206.74,118.6,152.05,0.0,38.17,26.35,4.28,0.0
20230626:1130,83.98,22.05,101.0,0.0,24.41,26.39,4.14,0.0
20230626:1230,27.76,5.95,45.85,0.0,10.72,25.79,3.66,0.0
20230626:1330,0.0,0.0,0.0,0.0,-2.75,25.06,3.59,0.0
20230626:1430,0.0,0.0,0.0,0.0,0.0,24.11,3.52,0.0
20230626:1530,0.0,0.0,0.0,0.0,0.0,23.35,3.31,0.0
20230626:1630,0.0,0.0,0.0,0.0,0.0,22.92,3.1,0.0
20230626:1730,0.0,0.0,0.0,0.0,0.0,22.62,3.1,0.0
20230626:1830,0.0,0.0,0.0,0.0,0.0,22.4,3.1,0.0
20230626:1930,0.0,0.0,0.0,0.0,0.0,21.65,2.55,0.0
20230626:2030,0.0,0.0,0.0,0.0,0.0,21.45,2.48,0.0
20230626:2130,0.0,0.0,0.0,0.0,0.0,21.19,2.41,0.0
20230626:2230,0.0,0.0,0.0,0.0,0.0,21.16,2.41,0.0
20230626:2330,0.0,0.0,0.0,0.0,0.0,20.99,2.41,0.0
20230627:0030,0.0,0.0,0.0,0.0,-1.03,20.82,2.34,0.0
20230627:0130,65.95,31.8,72.8,0.0,12.49,20.92,2.21,0.0
20230627:0230,197.54,89.95,169.2,0.0,26.19,22.02,3.45,0.0
20230627:0330,286.71,151.4,213.5,0.0,39.96,23.69,4.14,0.0
20230627:0430,302.39,85.1,303.35,0.0,53.62,25.13,4.0,0.0
20230627:0530,406.07,155.85,366.35,0.0,66.76,26.19,3.79,0.0
20230627:0630,562.35,487.95,235.75,0.0,77.34,26.86,3.86,0.0
20230627:0730,492.43,386.0,246.55,0.0,76.37,27.99,4.21,0.0
20230627:0830,591.91,523.7,247.1,0.0,65.16,28.22,3.86,0.0
20230627:0930,471.49,384.65,225.4,0.0,51.91,28.73,3.72,0.0
20230627:1030,160.08,71.95,142.1,0.0,38.22,26.12,4.34,0.0
20230627:1130,120.33,83.9,84.85,0.0,24.45,24.98,3.52,0.0
20230627:1230,16.68,7.1,29.4,0.0,10.76,24.92,3.24,0.0
20230627:1330,0.0,0.0,0.0,0.0,-2.72,24.5,2.83,0.0
20230627:1430,0.0,0.0,0.0,0.0,0.0,23.86,2.97,0.0
20230627:1530,0.0,0.0,0.0,0.0,0.0,23.24,2.76,0.0
20230627:1630,0.0,0.0,0.0,0.0,0.0,22.79,2.76,0.0
20230627:1730,0.0,0.0,0.0,0.0,0.0,22.4,3.31,0.0
20230627:1830,0.0,0.0,0.0,0.0,0.0,21.91,3.52,0.0
20230627:1930,0.0,0.0,0.0,0.0,0.0,21.29,3.31,0.0
20230627:2030,0.0,0.0,0.0,0.0,0.0,21.01,3.17,0.0
20230627:2130,0.0,0.0,0.0,0.0,0.0,20.73,3.24,0.0
20230627:2230,0.0,0.0,0.0,0.0,0.0,20.54,3.17,0.0
20230627:2330,0.0,0.0,0.0,0.0,0.0,20.48,3.31,0.0
20230628:0030,0.0,0.0,0.0,0.0,-1.08,20.53,3.45,0.0
20230628:0130,23.55,1.55,42.35,0.0,12.44,20.76,3.45,0.0
20230628:0230,110.9,37.95,115.25,0.0,26.15,21.33,3.1,0.0
20230628:0330,349.63,225.1,213.45,0.0,39.92,22.47,4.62,0.0
20230628:0430,308.6,90.3,302.35,0.0,53.58,24.47,5.59,0.0
20230628:0530,460.45,358.05,218.25,0.0,66.73,24.75,5.45,0.0
20230628:0630,454.89,275.7,300.5,0.0,77.36,25.66,5.03,0.0
20230628:0730,575.92,486.45,246.45,0.0,76.43,26.67,5.52,0.0
20230628:0830,502.22,401.65,240.35,0.0,65.22,27.67,4.83,0.0
20230628:0930,298.56,183.85,200.75,0.0,51.96,28.26,4.69,0.0
20230628:1030,253.76,185.1,140.9,0.0,38.27,25.75,4.76,0.0
20230628:1130,92.45,59.9,73.6,0.0,24.5,24.69,4.55,0.0
20230628:1230,27.4,11.2,41.25,0.0,10.8,24.51,3.66,0.0
20230628:1330,0.0,0.0,0.0,0.0,-2.68,23.99,3.17,0.0
20230628:1430,0.0,0.0,0.0,0.0,0.0,23.41,3.17,0.0
20230628:1530,0.0,0.0,0.0,0.0,0.0,22.93,2.97,0.0
20230628:1630,0.0,0.0,0.0,0.0,0.0,22.72,2.9,0.0
20230628:1730,0.0,0.0,0.0,0.0,0.0,22.44,2.69,0.0
20230628:1830,0.0,0.0,0.0,0.0,0.0,22.14,2.62,0.0
20230628:1930,0.0,0.0,0.0,0.0,0.0,22.08,2.48,0.0
20230628:2030,0.0,0.0,0.0,0.0,0.0,21.8,2.55,0.0
20230628:2130,0.0,0.0,0.0,0.0,0.0,21.59,2.55,0.0
20230628:2230,0.0,0.0,0.0,0.0,0.0,21.5,2.48,0.0
20230628:2330,0.0,0.0,0.0,0.0,0.0,21.33,2.41,0.0
20230629:0030,0.0,0.0,0.0,0.0,-1.14,21.2,2.28,0.0
20230629:0130,51.63,27.2,58.8,0.0,12.38,21.29,2.34,0.0
20230629:0230,148.46,104.0,96.35,0.0,26.1,21.97,2.55,0.0
20230629:0330,283.58,239.4,119.05,0.0,39.87,23.02,3.31,0.0
20230629:0430,235.65,104.1,198.95,0.0,53.55,24.1,3.52,0.0
20230629:0530,193.09,66.25,186.15,0.0,66.71,24.51,3.52,0.0
20230629:0630,222.46,102.35,184.05,0.0,77.38,24.41,4.0,0.0
20230629:0730,358.07,237.95,214.85,0.0,76.5,24.67,3.45,0.0
20230629:0830,410.17,333.05,184.85,0.0,65.28,25.63,4.0,0.0
20230629:0930,315.25,220.3,177.25,0.0,52.01,24.91,4.97,0.0
20230629:1030,128.26,67.5,105.8,0.0,38.32,24.09,5.17,0.0
20230629:1130,35.62,7.15,53.15,0.0,24.54,23.36,4.41,0.0
20230629:1230,10.76,1.4,24.55,0.0,10.84,22.86,4.28,0.0
20230629:1330,0.0,0.0,0.0,0.0,-2.65,22.55,3.93,0.0
20230629:1430,0.0,0.0,0.0,0.0,0.0,22.23,3.59,0.0
20230629:1530,0.0,0.0,0.0,0.0,0.0,21.98,3.45,0.0
20230629:1630,0.0,0.0,0.0,0.0,0.0,21.77,3.31,0.0
20230629:1730,0.0,0.0,0.0,0.0,0.0,21.61,3.24,0.0
20230629:1830,0.0,0.0,0.0,0.0,0.0,21.47,2.97,0.0
20230629:1930,0.0,0.0,0.0,0.0,0.0,20.88,2.62,0.0
20230629:2030,0.0,0.0,0.0,0.0,0.0,20.91,2.55,0.0
20230629:2130,0.0,0.0,0.0,0.0,0.0,20.87,2.76,0.0
20230629:2230,0.0,0.0,0.0,0.0,0.0,20.98,2.83,0.0
20230629:2330,0.0,0.0,0.0,0.0,0.0,21.12,2.76,0.0
20230630:0030,0.0,0.0,0.0,0.0,-1.2,21.14,2.62,0.0
20230630:0130,27.73,1.55,48.1,0.0,12.33,21.33,2.55,0.0
20230630:0230,198.78,126.1,134.75,0.0,26.05,21.68,3.52,0.0
20230630:0330,294.87,171.95,201.05,0.0,39.83,23.15,4.55,0.0
20230630:0430,405.11,296.35,211.85,0.0,53.52,24.38,4.83,0.0
20230630:0530,475.18,275.25,326.95,0.0,66.69,25.54,5.31,0.0
20230630:0630,445.04,168.75,400.35,0.0,77.4,26.49,5.45,0.0
20230630:0730,560.47,504.15,213.9,0.0,76.57,28.16,5.17,0.0
20230630:0830,553.67,531.85,176.4,0.0,65.34,28.6,5.45,0.0
20230630:0930,482.0,441.0,173.8,0.0,52.07,28.45,5.38,0.0
20230630:1030,367.52,348.75,120.4,0.0,38.36,27.32,4.83,0.0
20230630:1130,164.44,143.1,82.5,0.0,24.58,26.96,4.83,0.0
20230630:1230,47.25,46.45,41.9,0.0,10.88,26.52,4.21,0.0
20230630:1330,0.0,0.0,0.0,0.0,-2.62,25.77,3.93,0.0
20230630:1430,0.0,0.0,0.0,0.0,0.0,24.85,3.45,0.0
20230630:1530,0.0,0.0,0.0,0.0,0.0,24.06,3.17,0.0
20230630:1630,0.0,0.0,0.0,0.0,0.0,23.33,3.1,0.0
20230630:1730,0.0,0.0,0.0,0.0,0.0,22.73,3.03,0.0
20230630:1830,0.0,0.0,0.0,0.0,0.0,22.53,3.1,0.0
20230630:1930,0.0,0.0,0.0,0.0,0.0,22.46,2.97,0.0
20230630:2030,0.0,0.0,0.0,0.0,0.0,22.21,2.9,0.0
20230630:2130,0.0,0.0,0.0,0.0,0.0,22.07,3.03,0.0
20230630:2230,0.0,0.0,0.0,0.0,0.0,21.9,3.03,0.0
20230630:2330,0.0,0.0,0.0,0.0,0.0,22.1,2.83,0.0
20230701:0030,0.0,0.0,0.0,0.0,-1.26,22.17,2.55,0.0
20230701:0130,51.22,27.6,58.35,0.0,12.28,22.22,2.48,0.0
20230701:0230,167.32,112.3,111.5,0.0,26.0,22.82,3.38,0.0
20230701:0330,351.41,268.15,174.8,0.0,39.79,23.6,4.14,0.0
20230701:0430,305.25,88.95,302.65,0.0,53.48,25.24,4.34,0.0
20230701:0530,303.59,61.05,331.9,0.0,66.68,26.35,4.07,0.0
20230701:0630,528.24,341.7,339.2,0.0,77.43,27.06,4.21,0.0
20230701:0730,420.07,198.6,343.8,0.0,76.65,28.91,5.1,0.0
20230701:0830,389.36,180.1,323.35,0.0,65.41,29.03,4.9,0.0
20230701:0930,444.85,349.1,222.95,0.0,52.12,28.99,4.69,0.0
20230701:1030,305.87,221.15,175.9,0.0,38.41,29.14,4.62,0.0
20230701:1130,183.19,117.85,132.4,0.0,24.62,28.66,4.28,0.0
20230701:1230,52.43,25.3,64.6,0.0,10.91,27.92,3.93,0.0
20230701:1330,0.0,0.0,0.0,0.0,-2.6,26.71,3.72,0.0
20230701:1430,0.0,0.0,0.0,0.0,0.0,25.5,3.52,0.0
20230701:1530,0.0,0.0,0.0,0.0,0.0,24.58,3.52,0.0
20230701:1630,0.0,0.0,0.0,0.0,0.0,23.84,3.31,0.0
20230701:1730,0.0,0.0,0.0,0.0,0.0,23.28,3.03,0.0
20230701:1830,0.0,0.0,0.0,0.0,0.0,22.79,2.76,0.0
20230701:1930,0.0,0.0,0.0,0.0,0.0,22.52,2.62,0.0
20230701:2030,0.0,0.0,0.0,0.0,0.0,22.27,2.55,0.0
20230701:2130,0.0,0.0,0.0,0.0,0.0,22.1,2.55,0.0
20230701:2230,0.0,0.0,0.0,0.0,0.0,22.15,2.28,0.0
20230701:2330,0.0,0.0,0.0,0.0,0.0,22.24,2.21,0.0
20230702:0030,0.0,0.0,0.0,0.0,-1.31,22.21,2.21,0.0
20230702:0130,50.56,26.35,58.55,0.0,12.22,22.19,2.07,0.0
20230702:0230,183.72,100.65,143.75,0.0,25.96,22.92,2.41,0.0
20230702:0330,239.82,126.2,182.2,0.0,39.75,24.21,4.0,0.0
20230702:0430,268.43,106.3,238.35,0.0,53.45,25.26,4.34,0.0
20230702:0530,418.09,267.95,262.15,0.0,66.67,25.93,4.62,0.0
20230702:0630,535.47,432.9,248.3,0.0,77.47,26.76,5.17,0.0
20230702:0730,612.17,536.55,251.2,0.0,76.73,27.86,5.31,0.0
20230702:0830,485.15,403.0,218.0,0.0,65.47,28.56,4.97,0.0
20230702:0930,351.65,188.0,263.2,0.0,52.18,27.74,4.97,0.0
20230702:1030,219.68,118.35,169.0,0.0,38.46,26.7,4.0,0.0
20230702:1130,107.99,24.2,127.95,0.0,24.66,25.4,4.07,0.0
20230702:1230,25.19,7.3,41.05,0.0,10.94,24.47,3.86,0.0
20230702:1330,0.0,0.0,0.0,0.0,-2.57,23.73,3.45,0.0
20230702:1430,0.0,0.0,0.0,0.0,0.0,22.98,3.1,0.0
20230702:1530,0.0,0.0,0.0,0.0,0.0,22.18,3.52,0.0
20230702:1630,0.0,0.0,0.0,0.0,0.0,22.01,3.45,0.0
20230702:1730,0.0,0.0,0.0,0.0,0.0,21.83,3.45,0.0
20230702:1830,0.0,0.0,0.0,0.0,0.0,21.69,3.45,0.0
20230702:1930,0.0,0.0,0.0,0.0,0.0,22.12,2.55,0.0
20230702:2030,0.0,0.0,0.0,0.0,0.0,22.08,2.69,0.0
20230702:2130,0.0,0.0,0.0,0.0,0.0,22.05,2.9,0.0
20230702:2230,0.0,0.0,0.0,0.0,0.0,22.06,2.97,0.0
20230702:2330,0.0,0.0,0.0,0.0,0.0,21.91,3.38,0.0
20230703:0030,0.0,0.0,0.0,0.0,-1.37,22.04,3.45,0.0
20230703:0130,25.12,4.1,42.75,0.0,12.17,22.19,3.52,0.0
20230703:0230,107.95,38.25,112.0,0.0,25.91,22.53,4.07,0.0
20230703:0330,220.71,132.4,150.0,0.0,39.71,23.15,5.17,0.0
20230703:0430,355.02,204.5,239.45,0.0,53.43,23.7,6.14,0.0
20230703:0530,293.4,150.75,220.05,0.0,66.66,24.96,6.48,0.0
20230703:0630,402.8,249.35,258.5,0.0,77.51,25.61,5.45,0.0
20230703:0730,389.69,209.15,287.85,0.0,76.81,26.88,4.9,0.0
20230703:0830,447.75,251.15,317.85,0.0,65.54,25.98,5.03,0.0
20230703:0930,113.33,32.75,123.7,0.0,52.23,25.13,4.9,0.0
20230703:1030,120.07,31.55,132.85,0.0,38.5,24.02,4.55,0.0
20230703:1130,94.87,25.15,109.45,0.0,24.7,23.24,5.24,0.0
20230703:1230,30.57,10.8,45.35,0.0,10.97,22.83,4.97,0.0
20230703:1330,0.0,0.0,0.0,0.0,-2.55,22.59,4.28,0.0
20230703:1430,0.0,0.0,0.0,0.0,0.0,22.51,4.34,0.0
20230703:1530,0.0,0.0,0.0,0.0,0.0,22.3,4.28,0.0
20230703:1630,0.0,0.0,0.0,0.0,0.0,22.18,4.21,0.0
20230703:1730,0.0,0.0,0.0,0.0,0.0,22.09,4.14,0.0
20230703:1830,0.0,0.0,0.0,0.0,0.0,22.44,4.34,0.0
20230703:1930,0.0,0.0,0.0,0.0,0.0,21.84,4.41,0.0
20230703:2030,0.0,0.0,0.0,0.0,0.0,21.85,4.34,0.0
20230703:2130,0.0,0.0,0.0,0.0,0.0,22.18,4.69,0.0
20230703:2230,0.0,0.0,0.0,0.0,0.0,22.25,5.03,0.0
20230703:2330,0.0,0.0,0.0,0.0,0.0,22.06,5.31,0.0
20230704:0030,0.0,0.0,0.0,0.0,-1.43,21.75,5.66,0.0
20230704:0130,16.66,1.6,32.9,0.0,12.12,21.79,5.45,0.0
20230704:0230,51.66,11.5,68.9,0.0,25.86,22.01,5.52,0.0
20230704:0330,129.89,55.15,118.85,0.0,39.68,22.16,5.17,0.0
20230704:0430,77.34,1.1,111.1,0.0,53.4,22.56,5.03,0.0
20230704:0530,79.72,3.35,111.65,0.0,66.65,22.45,4.62,0.0
20230704:0630,179.69,62.15,171.25,0.0,77.56,22.58,4.62,0.0
20230704:0730,161.06,16.15,197.9,0.0,76.9,23.68,4.48,0.0
20230704:0830,135.74,29.05,153.25,0.0,65.61,23.33,5.24,0.0
20230704:0930,52.76,5.2,76.55,0.0,52.29,23.11,5.45,0.0
20230704:1030,30.85,0.2,53.4,0.0,38.55,22.4,5.52,0.0
20230704:1130,16.55,1.0,33.0,0.0,24.74,21.75,5.72,0.0
20230704:1230,25.37,4.3,43.0,0.0,11.0,21.86,6.48,0.0
20230704:1330,0.0,0.0,0.0,0.0,-2.53,21.99,6.9,0.0
20230704:1430,0.0,0.0,0.0,0.0,0.0,21.85,6.41,0.0
20230704:1530,0.0,0.0,0.0,0.0,0.0,21.81,6.0,0.0
20230704:1630,0.0,0.0,0.0,0.0,0.0,21.87,5.93,0.0
20230704:1730,0.0,0.0,0.0,0.0,0.0,21.82,6.0,0.0
20230704:1830,0.0,0.0,0.0,0.0,0.0,21.64,5.38,0.0
20230704:1930,0.0,0.0,0.0,0.0,0.0,21.52,4.48,0.0
20230704:2030,0.0,0.0,0.0,0.0,0.0,21.48,4.0,0.0
20230704:2130,0.0,0.0,0.0,0.0,0.0,21.38,3.24,0.0
20230704:2230,0.0,0.0,0.0,0.0,0.0,21.2,3.52,0.0
20230704:2330,0.0,0.0,0.0,0.0,0.0,21.38,4.28,0.0
20230705:0030,0.0,0.0,0.0,0.0,-1.5,21.53,3.59,0.0
20230705:0130,2.18,0.1,10.85,0.0,12.06,21.52,3.24,0.0
20230705:0230,17.01,0.95,33.7,0.0,25.82,21.74,4.62,0.0
20230705:0330,43.31,0.0,69.65,0.0,39.64,21.97,5.17,0.0
20230705:0430,48.87,2.0,74.65,0.0,53.38,22.08,5.1,0.0
20230705:0530,62.4,1.55,91.9,0.0,66.65,21.69,4.55,0.0
20230705:0630,225.65,104.9,182.05,0.0,77.61,22.11,4.21,0.0
20230705:0730,238.18,77.55,225.75,0.0,77.0,22.38,4.83,0.0
20230705:0830,167.32,20.7,199.6,0.0,65.68,22.6,4.69,0.0
20230705:0930,159.36,57.1,152.55,0.0,52.34,22.86,4.48,0.0
20230705:1030,44.98,0.8,71.25,0.0,38.59,22.98,4.97,0.0
20230705:1130,22.39,0.9,41.3,0.0,24.77,22.06,5.45,0.0
20230705:1230,6.6,0.0,18.9,0.0,11.03,21.75,5.24,0.0
20230705:1330,0.0,0.0,0.0,0.0,-2.51,21.6,4.97,0.0
20230705:1430,0.0,0.0,0.0,0.0,0.0,21.42,4.97,0.0
20230705:1530,0.0,0.0,0.0,0.0,0.0,21.43,4.83,0.0
20230705:1630,0.0,0.0,0.0,0.0,0.0,21.46,4.9,0.0
20230705:1730,0.0,0.0,0.0,0.0,0.0,21.46,5.03,0.0
20230705:1830,0.0,0.0,0.0,0.0,0.0,21.5,4.97,0.0
20230705:1930,0.0,0.0,0.0,0.0,0.0,20.75,4.34,0.0
20230705:2030,0.0,0.0,0.0,0.0,0.0,20.93,4.62,0.0
20230705:2130,0.0,0.0,0.0,0.0,0.0,21.16,4.9,0.0
20230705:2230,0.0,0.0,0.0,0.0,0.0,21.35,5.03,0.0
20230705:2330,0.0,0.0,0.0,0.0,0.0,21.32,5.31,0.0
20230706:0030,0.0,0.0,0.0,0.0,-1.56,21.33,5.03,0.0
20230706:0130,4.32,0.0,14.95,0.0,12.01,21.25,4.97,0.0
20230706:0230,29.79,0.25,51.75,0.0,25.77,21.34,4.55,0.0
20230706:0330,106.02,15.95,130.2,0.0,39.61,21.55,4.34,0.0
20230706:0430,129.39,14.65,159.85,0.0,53.35,21.93,4.14,0.0
20230706:0530,125.73,10.7,160.05,0.0,66.65,22.57,3.93,0.0
20230706:0630,162.65,4.5,210.15,0.0,77.67,21.71,4.34,0.0
20230706:0730,221.88,75.05,208.2,0.0,77.1,22.23,5.03,0.0
20230706:0830,94.47,0.0,133.0,0.0,65.75,22.34,5.1,0.0
20230706:0930,143.52,22.05,169.15,0.0,52.4,22.16,4.83,0.0
20230706:1030,45.45,1.5,70.8,0.0,38.64,21.89,5.45,0.0
20230706:1130,28.9,0.4,50.5,0.0,24.8,21.67,4.76,0.0
20230706:1230,3.57,0.0,13.6,0.0,11.05,21.57,4.76,0.0
20230706:1330,0.0,0.0,0.0,0.0,-2.5,21.4,4.55,0.0
20230706:1430,0.0,0.0,0.0,0.0,0.0,21.31,4.28,0.0
20230706:1530,0.0,0.0,0.0,0.0,0.0,21.22,3.79,0.0
20230706:1630,0.0,0.0,0.0,0.0,0.0,21.18,3.93,0.0
20230706:1730,0.0,0.0,0.0,0.0,0.0,21.3,4.41,0.0
20230706:1830,0.0,0.0,0.0,0.0,0.0,21.38,4.34,0.0
20230706:1930,0.0,0.0,0.0,0.0,0.0,21.12,3.66,0.0
20230706:2030,0.0,0.0,0.0,0.0,0.0,21.19,3.72,0.0
20230706:2130,0.0,0.0,0.0,0.0,0.0,21.2,3.93,0.0
20230706:2230,0.0,0.0,0.0,0.0,0.0,21.23,4.07,0.0
20230706:2330,0.0,0.0,0.0,0.0,0.0,21.14,4.07,0.0
20230707:0030,0.0,0.0,0.0,0.0,-1.62,21.08,3.86,0.0
20230707:0130,53.16,40.25,50.85,0.0,11.96,21.15,3.72,0.0
20230707:0230,189.81,122.7,127.55,0.0,25.73,21.75,3.52,0.0
20230707:0330,270.58,184.75,156.55,0.0,39.57,22.63,4.97,0.0
20230707:0430,357.69,267.95,179.75,0.0,53.34,23.82,4.55,0.0
20230707:0530,280.09,105.1,251.6,0.0,66.66,24.88,5.86,0.0
20230707:0630,236.49,87.15,216.05,0.0,77.73,24.36,5.38,0.0
20230707:0730,184.55,67.0,172.5,0.0,77.21,23.39,5.59,0.0
20230707:0830,230.41,71.75,223.8,0.0,65.83,23.16,4.41,0.0
20230707:0930,98.64,3.0,135.45,0.0,52.45,23.2,5.1,0.0
20230707:1030,147.6,37.25,158.95,0.0,38.68,22.31,4.48,0.0
20230707:1130,47.59,3.25,72.05,0.0,24.84,22.41,5.1,0.0
20230707:1230,18.48,4.65,33.3,0.0,11.07,22.04,4.28,0.0
20230707:1330,0.0,0.0,0.0,0.0,-2.49,21.77,4.0,0.0
20230707:1430,0.0,0.0,0.0,0.0,0.0,21.45,3.79,0.0
20230707:1530,0.0,0.0,0.0,0.0,0.0,21.4,3.72,0.0
20230707:1630,0.0,0.0,0.0,0.0,0.0,21.37,3.66,0.0
20230707:1730,0.0,0.0,0.0,0.0,0.0,21.4,3.38,0.0
20230707:1830,0.0,0.0,0.0,0.0,0.0,21.32,3.1,0.0
20230707:1930,0.0,0.0,0.0,0.0,0.0,21.83,3.03,0.0
20230707:2030,0.0,0.0,0.0,0.0,0.0,21.71,2.9,0.0
20230707:2130,0.0,0.0,0.0,0.0,0.0,21.48,3.1,0.0
20230707:2230,0.0,0.0,0.0,0.0,0.0,21.41,3.31,0.0
20230707:2330,0.0,0.0,0.0,0.0,0.0,21.29,2.76,0.0
20230708:0030,0.0,0.0,0.0,0.0,-1.68,21.32,2.69,0.0
20230708:0130,15.87,0.8,32.35,0.0,11.91,21.3,3.03,0.0
20230708:0230,50.29,3.4,75.15,0.0,25.69,21.64,3.1,0.0
20230708:0330,121.43,16.15,149.25,0.0,39.54,22.16,3.38,0.0
20230708:0430,154.7,35.8,169.35,0.0,53.32,22.72,3.45,0.0
20230708:0530,229.97,74.1,221.95,0.0,66.66,23.51,3.66,0.0
20230708:0630,207.4,57.25,212.7,0.0,77.8,24.28,3.66,0.0
20230708:0730,168.59,58.6,163.55,0.0,77.31,23.97,3.38,0.0
20230708:0830,262.73,48.2,289.6,0.0,65.9,23.45,3.52,0.0
20230708:0930,134.51,41.2,139.1,0.0,52.51,22.98,4.69,0.0
20230708:1030,88.54,10.3,115.4,0.0,38.72,22.51,4.34,0.0
20230708:1130,117.62,40.25,121.85,0.0,24.87,22.18,3.79,0.0
20230708:1230,13.84,1.15,29.3,0.0,11.09,22.47,3.86,0.0
20230708:1330,0.0,0.0,0.0,0.0,-2.48,22.18,3.79,0.0
20230708:1430,0.0,0.0,0.0,0.0,0.0,21.88,3.45,0.0
20230708:1530,0.0,0.0,0.0,0.0,0.0,21.72,3.17,0.0
20230708:1630,0.0,0.0,0.0,0.0,0.0,21.6,2.97,0.0
20230708:1730,0.0,0.0,0.0,0.0,0.0,21.47,2.97,0.0
20230708:1830,0.0,0.0,0.0,0.0,0.0,21.19,2.83,0.0
20230708:1930,0.0,0.0,0.0,0.0,0.0,21.12,2.55,0.0
20230708:2030,0.0,0.0,0.0,0.0,0.0,21.02,2.48,0.0
20230708:2130,0.0,0.0,0.0,0.0,0.0,20.93,2.55,0.0
20230708:2230,0.0,0.0,0.0,0.0,0.0,20.92,2.55,0.0
20230708:2330,0.0,0.0,0.0,0.0,0.0,20.97,2.28,0.0
20230709:0030,0.0,0.0,0.0,0.0,-1.74,20.96,2.28,0.0
20230709:0130,31.73,8.6,47.95,0.0,11.85,21.07,2.48,0.0
20230709:0230,161.74,101.85,113.9,0.0,25.65,21.35,3.24,0.0
20230709:0330,278.28,175.5,176.15,0.0,39.51,22.62,4.41,0.0
20230709:0430,336.03,182.55,242.4,0.0,53.3,24.04,4.07,0.0
20230709:0530,374.91,137.4,341.0,0.0,66.67,25.14,4.21,0.0
20230709:0630,516.98,365.9,290.15,0.0,77.88,25.8,5.03,0.0
20230709:0730,555.81,455.0,254.9,0.0,77.43,26.82,4.9,0.0
20230709:0830,494.21,428.35,201.6,0.0,65.97,27.62,4.76,0.0
20230709:0930,470.38,388.25,213.75,0.0,52.56,27.84,4.55,0.0
20230709:1030,288.9,203.15,170.05,0.0,38.76,27.81,4.62,0.0
20230709:1130,124.12,69.2,104.55,0.0,24.89,26.41,3.93,0.0
20230709:1230,17.33,3.45,33.05,0.0,11.11,25.53,3.24,0.0
20230709:1330,0.0,0.0,0.0,0.0,-2.47,24.86,2.9,0.0
